district,mean_residual,mispricing_pct,n
KENSINGTON AND CHELSEA,0.24759665302515416,28.0943163432549,897
CITY OF WESTMINSTER,0.19583015860734074,21.6320306255541,1246
CAMDEN,0.08959150702130776,9.372741247094595,1103
HAMMERSMITH AND FULHAM,0.031536383141867026,3.2038923731156688,1288
HARINGEY,0.024590381917055024,2.4895218915862216,1245
MERTON,0.015188945937948811,1.5304884227034465,1236
RICHMOND UPON THAMES,0.014331170131737708,1.4434353674816158,1424
KINGSTON UPON THAMES,0.004131674586489428,0.41402217212060943,1077
CITY OF LONDON,0.003440293425958362,0.34462180275611765,102
EALING,0.0013017974468354865,0.1302645152938986,1548
SUTTON,5.240299492057253e-4,0.05241672768865335,1316
ISLINGTON,4.2463998295020066e-4,0.04247301552708915,1128
WANDSWORTH,-1.0363731616466748e-4,-0.010363194600349068,2576
HAVERING,-0.004170400271048083,-0.4161716228010426,1657
WALTHAM FOREST,-0.004867563134418517,-0.48557357469514173,1478
BARNET,-0.005710822869457159,-0.5694547117917836,1774
HOUNSLOW,-0.005782292468971046,-0.576560719108199,1157
HILLINGDON,-0.0069119240837679,-0.6888091677372032,1314
CROYDON,-0.00949454260320586,-0.9449611745337094,1968
REDBRIDGE,-0.01149152265609824,-1.1425747303696498,1124
ENFIELD,-0.012526339480331813,-1.2448211449598734,1237
BEXLEY,-0.013735716268812535,-1.3641811758360989,1434
LAMBETH,-0.013842503993825188,-1.374713708150499,1773
GREENWICH,-0.01730732996653062,-1.7158418455739732,1447
LEWISHAM,-0.019862832838829808,-1.9666866402287098,1520
BARKING AND DAGENHAM,-0.02245552700762437,-2.220527831641117,680
BROMLEY,-0.023253789019149578,-2.29855032444094,2252
HACKNEY,-0.023575756202870158,-2.3300019215756196,1157
HARROW,-0.025562774329303147,-2.523881293462782,928
TOWER HAMLETS,-0.031093496093436084,-3.0615064865525565,1486
SOUTHWARK,-0.03472629752849791,-3.413025898198807,1583
NEWHAM,-0.037439771089651804,-3.674756838190607,1054
BRENT,-0.03874770150234224,-3.8006611982124294,934
